,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4026336669921875,0.007768344779732483,0.33995946248372394,0.011594327876408626,0.001,1e-05,"{'C': 0.001, 'gamma': 1e-05}",-0.0011223549947629863,-0.039094520772993135,2.246328870658676e-05,-0.013398137493016512,0.01817609671114122,85
1,0.3948999245961507,0.005190685699421785,0.3387613296508789,0.00132857239503368,0.001,0.0001,"{'C': 0.001, 'gamma': 0.0001}",-0.0009833815029882675,-0.03895258451363648,0.00022295756445611659,-0.01323766948405621,0.018189858982783247,84
2,0.4098292986551921,0.014340528791944989,0.364238977432251,0.017970955966109533,0.001,0.001,"{'C': 0.001, 'gamma': 0.001}",0.0003822446282228942,-0.03718170903057394,0.002068321276458618,-0.011577047708630809,0.0181183097937692,78
3,0.4671626091003418,0.0312736233782752,0.4092694918314616,0.03027774551569975,0.001,0.01,"{'C': 0.001, 'gamma': 0.01}",0.0064796670772006015,-0.027993465024895192,0.010458609080447712,-0.00368506295574896,0.017265221366140577,49
4,0.439300537109375,0.01048567205262923,0.3920474052429199,0.04840876374170719,0.001,0.1,"{'C': 0.001, 'gamma': 0.1}",0.0011970159937608749,-0.03659736922655399,0.002842587127511842,-0.010852588701760424,0.018216700566447284,75
5,0.445539395014445,0.019988703670655462,0.38408907254536945,0.01483763768309099,0.001,1.0,"{'C': 0.001, 'gamma': 1.0}",-0.0005454680268461853,-0.038443120483588666,0.0007488997826666788,-0.012746562909256057,0.018177892257443175,79
6,0.5321057637532552,0.04260090450680192,0.4290565649668376,0.009679943794381411,0.001,10.0,"{'C': 0.001, 'gamma': 10.0}",-0.0006054035118774337,-0.03848964866626803,0.0006909353082011904,-0.012801372289981424,0.018172062458115458,80
7,0.5252984364827474,0.007824933316536614,0.4169110457102458,0.004883407906079923,0.001,100.0,"{'C': 0.001, 'gamma': 100.0}",-0.0006054093284988404,-0.03848965285561756,0.0006909308058843378,-0.012801377126077354,0.018172062016617092,81
8,0.522524356842041,0.015874907602887647,0.42493049303690594,0.02841081376362477,0.001,1000.0,"{'C': 0.001, 'gamma': 1000.0}",-0.0006054093284988404,-0.03848965285561756,0.0006909308058843378,-0.012801377126077354,0.018172062016617092,81
9,0.49104563395182294,0.020543070688359723,0.3979930877685547,0.04066792292540726,0.01,1e-05,"{'C': 0.01, 'gamma': 1e-05}",-0.0009823182509121064,-0.03895162024573717,0.00022449472393859526,-0.013236481257570229,0.01819002252655055,83
