canonical_smiles,molecule_chembl_id,standard_value
c1ccc(C2C3CCc4ccccc4C32)cc1,CHEMBL168700,250000.0
Nc1ncc(/C=C2\CCc3ccccc3C2=O)s1,CHEMBL355681,250000.0
CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL289766,2400.0
C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1630266,1400.0
CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,CHEMBL2111917,700.0
CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL39840,10000.0
O=C1/C(=C/c2ccccn2)CCc2ccccc21,CHEMBL424203,250000.0
C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1630911,6900.0
CCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL40125,4000.0
O=C1/C(=C/c2ccccc2)CCc2ccccc21,CHEMBL28689,250000.0
O=C1/C(=C/c2ccsc2)CCc2ccccc21,CHEMBL166974,250000.0
C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43C)[C@@H]1CCC2=O,CHEMBL2311169,660.0
CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL38472,330.0
CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL38472,600.0
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,CHEMBL276140,100000.0
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,CHEMBL297784,100000.0
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,CHEMBL14563,100000.0
O=C1CC(c2ccccc2)Oc2ccccc21,CHEMBL274318,28500.0
C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,CHEMBL113739,187.5
C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,CHEMBL113121,176.0
COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O,CHEMBL10137,620.0
O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21,CHEMBL10072,3300.0
C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,CHEMBL113082,31.0
COc1ccc2c(c1)OC(c1ccccc1)CC2=O,CHEMBL9687,8000.0
O=C1/C(=C/c2ccncc2)C(c2ccccc2)Oc2ccccc21,CHEMBL10026,800.0
C#CC[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,CHEMBL2105261,56.2
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,5200.0
C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,CHEMBL109211,275.0
COc1ccc2c(c1)OC(c1ccccc1)/C(=C/c1ccncc1)C2=O,CHEMBL267508,1600.0
CCCCCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,CHEMBL27879,225.0
Nc1ccc([C@@]23C[C@@H]2C(=O)NC3=O)cc1,CHEMBL27386,1000.0
Nc1ccc(C23CC2C(=O)NC3=O)cc1,CHEMBL287574,1800.0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,1900.0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,13000.0
Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,CHEMBL281947,5.0
Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,CHEMBL281947,230.0
Nc1ccc(C23CC(C2)C(=O)NC3=O)cc1,CHEMBL26543,2000.0
Nc1ccc(C23CC(C2)C(=O)N(CC2CCCCC2)C3=O)cc1,CHEMBL27546,97.0
CC(C)CN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,CHEMBL286506,62.0
Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,CHEMBL281947,150.0
Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,CHEMBL281947,12.0
Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,CHEMBL281947,780.0
CCCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,CHEMBL26651,23.0
CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,CHEMBL27591,31.0
CCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,CHEMBL28173,49.0
COc1ccc(CN2C(=O)C3CC(c4ccc(N)cc4)(C3)C2=O)cc1,CHEMBL28290,240.0
Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,CHEMBL27467,13.0
Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,CHEMBL27467,70.0
CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,CHEMBL27698,111.0
Nc1ccc([C@]23C[C@H]2C(=O)NC3=O)cc1,CHEMBL27767,777000.0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnc2)cc1,CHEMBL29482,3.5
CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12,CHEMBL311077,38000.0
C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL424162,1000.0
CCSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SCC,CHEMBL349514,1000.0
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C(F)F)[C@@H]1CC[C@@H]2O,CHEMBL2112309,26000.0
CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL349704,12.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCS)C1CCC2=O,CHEMBL165279,1000.0
CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,CHEMBL443530,44000.0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,1900.0
CSSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL352891,1000.0
CC(=O)OC1CCC2C3CCC4=CCCCC4(CO)C3CCC12C,CHEMBL81255,100000.0
C=C(c1ccc(C#N)cc1)n1ccnc1,CHEMBL31760,0.7
CC(=O)OCC12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,CHEMBL309656,4000.0
CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O,CHEMBL83835,1200.0
CC(=O)SCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL349919,10000.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSc3ccccc3)C1CCC2=O,CHEMBL349963,400.0
CSCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL353571,570.0
CSCCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL164746,10000.0
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1629805,270.0
CN(C)CC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL166017,10000.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CC[Se]c3ccccc3)C1CCC2=O,CHEMBL164821,1000.0
CSC(=O)C[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC12,CHEMBL164993,42.0
COCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL165925,10000.0
CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL165218,870.0
C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL350713,330.0
CC12CCC3C(CCC4=CCCCC43C)C1C[C@H](Br)C2=O,CHEMBL81134,5900.0
N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1,CHEMBL31456,7.7
N#Cc1ccc([C@@H]2CCCc3cncn32)cc1,CHEMBL31215,3.2
CSCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC12,CHEMBL350074,22.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC#N)C1CCC2=O,CHEMBL166032,1000.0
C=CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL164543,50.0
C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,CHEMBL82981,62000.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])C1CCC2=O,CHEMBL165552,1000.0
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,CHEMBL1629804,530.0
N#Cc1ccc(C2(c3ccc(C#N)cc3)CCCc3cncn32)cc1,CHEMBL285809,233.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCCl)C1CCC2=O,CHEMBL351850,1000.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC(F)F)C1CCC2=O,CHEMBL166148,1000.0
N#Cc1ccc([C@H]2CCCc3cncn32)cc1,CHEMBL287677,680.0
N#Cc1ccc2c(c1)CCC=C2n1ccnc1,CHEMBL31224,2.9
C=CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL351526,270.0
CSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SC,CHEMBL351226,1000.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccccc3)C1CCC2=O,CHEMBL349851,1000.0
CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O,CHEMBL440691,2300.0
CC12CCC3C(CCC4=CCCCC43C)C1C[C@@H](Br)C2=O,CHEMBL83422,4100.0
C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,CHEMBL132530,410.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCI)C1CCC2=O,CHEMBL166060,10000.0
CC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,CHEMBL439950,7300.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCF)C1CCC2=O,CHEMBL165106,50.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCO)C1CCC2=O,CHEMBL423096,1000.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCOS(C)(=O)=O)C1CCC2=O,CHEMBL424185,10000.0
C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC3CC3)C1CCC2=O,CHEMBL166079,1000.0
CS[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL165342,7400.0
O=C1c2cccc(O)c2CCC1Cc1ccncc1,CHEMBL93828,210.0
O=C1/C(=C/c2ccncc2)CCc2cc(O)ccc21,CHEMBL91992,8600.0
COc1ccc2c(c1)C(=O)/C(=C/c1ccncc1)CC2,CHEMBL419131,13000.0
O=C1/C(=C/c2ccncc2)CCc2ccc(O)cc21,CHEMBL313774,3000.0
O=C1c2ccc(O)cc2CCC1Cc1ccncc1,CHEMBL91818,6200.0
O=C1/C(=C/c2ccncc2)CCc2ccccc21,CHEMBL90585,9300.0
COc1ccc2c(c1)CCC(Cc1ccncc1)C2=O,CHEMBL88233,3300.0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,37000.0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,37000.0
O=C1c2cc(O)ccc2CCC1Cc1ccncc1,CHEMBL90077,4900.0
COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,CHEMBL93666,9600.0
O=C1c2cccc(O)c2CCC1Cc1ccncc1,CHEMBL93828,170.0
COc1cccc2c1CC/C(=C\c1ccncc1)C2=O,CHEMBL91101,6300.0
COc1ccc2c(c1)CC/C(=C\c1ccncc1)C2=O,CHEMBL328217,8900.0
COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,CHEMBL93666,7900.0
O=C1c2cccc(O)c2CCC1Cc1ccncc1,CHEMBL93828,200.0
O=C1c2ccccc2CCC1Cc1ccncc1,CHEMBL92065,4300.0
COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,CHEMBL93666,8500.0
O=C1/C(=C/c2ccncc2)CCc2c(O)cccc21,CHEMBL92488,690.0
COc1cccc2c1CCC(Cc1ccncc1)C2=O,CHEMBL90427,2200.0
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,CHEMBL1629804,0.06
CCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL307006,50.0
C[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL73367,1.6
CCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL305630,9.0
CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL70317,0.44
CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL307690,0.32
CC12CCCC=C1CCC1C2CCC2(C)C1CC[C@@H]2O,CHEMBL73279,0.36
CCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL69891,14.0
CCCCCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL72056,50.0
CC12CCC3C(C[C@H](O)C4=CCCCC43C)C1CCC2=O,CHEMBL307643,0.19
C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL310735,0.037
CCCCCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL73368,50.0
CO[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL308537,0.13
CO[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL307581,0.12
C[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL70959,3.7
C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL305205,0.049
CCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL73071,43.0
CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL72415,12.0
CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL74295,50.0
CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL70436,0.11
CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL72538,50.0
CC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL306022,3.3
CC(=O)O[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL72228,0.16
CC12CCC3C(C[C@@H](O)C4=CCCCC43C)C1CCC2=O,CHEMBL73993,0.05
CC(=O)O[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL304770,0.26
CCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL73219,50.0
CC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL74339,1.3
CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL304305,0.23
N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)cc2)n2cnnc2)cc1,CHEMBL430879,100.0
N#Cc1ccc(N(Cc2cccc(OS(N)(=O)=O)c2)n2cnnc2)cc1,CHEMBL325346,39.0
N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Cl)c2)n2cnnc2)cc1,CHEMBL322322,2.3
N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Br)c2)n2cnnc2)cc1,CHEMBL108483,0.82
C[C@]12CCC3C(CCC4=C(O)C(=O)CC[C@@]43C(F)F)C1CCC2=O,CHEMBL99057,3300.0
