,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2792277336120605,0.030006418387452233,0.013388395309448242,0.0025894557544557,5,auto,100,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100}",-1.9034393058203527,-1.464794135424898,-1.7381506215208138,-1.7021280209220215,0.18087862817045666,14
1,4.446772336959839,0.2558941054518078,0.031244913736979168,0.004035932140774328,5,auto,300,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 300}",-1.9053401962257124,-1.4562274008869256,-1.6529104618518098,-1.6714926863214827,0.18381974872854065,5
2,7.288046518961589,0.23490329998172416,0.04674228032430013,0.003328245793819829,5,auto,500,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 500}",-1.9064827328588305,-1.4564097465757222,-1.6885524136523218,-1.6838149643622915,0.18377206137818386,8
3,0.17246317863464355,0.0207758945344214,0.015599648157755533,0.002623324052245152,5,sqrt,100,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",-1.961501182553988,-1.4403830489954064,-1.3834790087720876,-1.5951210801071607,0.2601093386124959,1
4,0.4562540849049886,0.02309861831383845,0.030892372131347656,0.004538814439517762,5,sqrt,300,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300}",-1.9523976242194399,-1.445072724844714,-1.3905105196746594,-1.595993622912938,0.25299817874010955,2
5,0.7633648713429769,0.035543295949664024,0.04330746332804362,0.005505138090129166,5,sqrt,500,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",-1.956502071949993,-1.4437745053504638,-1.39630982137384,-1.5988621328914323,0.25363092419709454,3
6,3.634183088938395,0.03966437815745482,0.020328760147094727,0.0026178185043144162,20,auto,100,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 100}",-1.9237832215727684,-1.5488558123888139,-1.8893698603019393,-1.7873362980878404,0.16921539804427155,16
7,10.41607435544332,1.0816412206812,0.04856332143147787,0.00426532452491826,20,auto,300,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 300}",-1.9166994593202589,-1.5462768547779755,-1.9868760545345223,-1.8166174562109187,0.19329462695810737,17
8,18.41054105758667,0.31312722034384816,0.07159749666849773,0.0025224181960224004,20,auto,500,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 500}",-1.911429864998786,-1.5467417475375727,-2.032767085625606,-1.8303128993873214,0.20654318176175718,19
9,0.7382665475209554,0.019016483286683702,0.023850282033284504,0.00021129655923089405,20,sqrt,100,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",-1.9185319598117048,-1.545544845204901,-1.5756821913734222,-1.6799196654633428,0.16917236805334052,7
10,2.145601193110148,0.14750121262906646,0.047377983729044594,0.0037722000617573573,20,sqrt,300,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 300}",-1.897780943375075,-1.531542616499268,-1.5543194792273436,-1.6612143463672286,0.16753609060704483,4
11,3.5435806115468345,0.2879099298346034,0.07254536946614583,0.0019043240440859614,20,sqrt,500,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 500}",-1.9014778919961572,-1.5310275110953713,-1.595885434555907,-1.676130279215812,0.1615297650553473,6
12,3.993269125620524,0.014481864374371899,0.02376834551493327,0.0005838562978599553,60,auto,100,"{'max_depth': 60, 'max_features': 'auto', 'n_estimators': 100}",-1.9287053722164795,-1.5985066134096129,-2.1312214213441214,-1.8861444689900713,0.21955233166720692,24
13,11.281100034713745,0.27312858079747165,0.06742461522420247,0.03039832567095549,60,auto,300,"{'max_depth': 60, 'max_features': 'auto', 'n_estimators': 300}",-1.914273533051717,-1.5825358911604641,-2.041711515678087,-1.8461736466300895,0.19354372363158015,20
14,19.25200891494751,0.39358918542077503,0.0791929562886556,0.006977773668324767,60,auto,500,"{'max_depth': 60, 'max_features': 'auto', 'n_estimators': 500}",-1.9224260822701345,-1.5788928984902135,-2.0448976829577292,-1.8487388879060258,0.19725189774599447,21
15,0.8318631649017334,0.0035084508346007936,0.023995002110799152,5.739679363653751e-06,60,sqrt,100,"{'max_depth': 60, 'max_features': 'sqrt', 'n_estimators': 100}",-1.9188701177268,-1.5978277413127662,-1.5865759565740365,-1.701091271871201,0.15406139456203657,13
16,2.3794898192087808,0.0970332785760832,0.05577603975931803,0.0014845582478980508,60,sqrt,300,"{'max_depth': 60, 'max_features': 'sqrt', 'n_estimators': 300}",-1.9079363371176754,-1.5785649362315273,-1.6035522714881032,-1.6966845149457683,0.1497255066424763,9
17,3.9020243485768638,0.28358534780589734,0.07930231094360352,0.0037453912473792046,60,sqrt,500,"{'max_depth': 60, 'max_features': 'sqrt', 'n_estimators': 500}",-1.9049126020785145,-1.5827466584980971,-1.6049089761941517,-1.6975227455902544,0.14692561953151909,10
18,3.7447715600331626,0.12725476838223446,0.022151470184326172,0.0027267080649019974,90,auto,100,"{'max_depth': 90, 'max_features': 'auto', 'n_estimators': 100}",-1.9443318367781321,-1.6020414492312929,-2.095338613257585,-1.8805706330890033,0.20637286858339784,22
19,12.073923190434774,0.2300179942219849,0.050195535024007164,0.004796793637799227,90,auto,300,"{'max_depth': 90, 'max_features': 'auto', 'n_estimators': 300}",-1.9190184528470593,-1.5716907711595265,-2.1511067729247073,-1.8806053323104308,0.23809998130674453,23
